GeneID	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
11972	1415671_at	0.23338902650808	10.0384482980058	3.14537356619149	0.00673566664462944	0.0246239200242711	-3.87076841157689
100678	1415673_at	1.00047168007687	8.14123460827019	9.93783216242	5.93058329653403e-08	9.80840620670999e-07	8.14803904326458
13481	1415675_at	-0.473590143696617	8.0140810498708	-5.80440915725048	3.61089681216232e-05	0.000247688299810392	1.45338746355001
19173	1415676_a_at	0.367648388490747	10.7507626081303	4.82667837723443	0.000228078738527036	0.00125783555714207	-0.449243455570837
52585	1415677_at	0.202474254592577	6.1079988896364	2.36796223682623	0.0318963347594865	0.091423997075793	-5.3753418981341
94067	1415681_at	-0.442245581977402	9.12807845063127	-5.32221780709055	8.82424648744571e-05	0.000545405428025612	0.528796330298011
65246	1415682_at	0.855855945435515	7.56458986381289	7.34087567959022	2.58849454297861e-06	2.50361767923822e-05	4.19670895096704
76784	1415685_at	0.376250472412408	8.68674915656279	3.12864601186156	0.0069690744816122	0.0253638511545026	-3.9043824153677
68365	1415686_at	-0.434242606082672	7.9733221583225	-4.59099602570868	0.000361957203760981	0.00189446812658976	-0.92281609925753
19156	1415687_a_at	-1.95198953885533	9.96617024007712	-23.4974196930891	3.68741785569776e-13	5.40185604774281e-11	20.5798331866845
13383	1415691_at	-0.93540352240649	9.14959787220611	-10.0026988172023	5.44835839939264e-08	9.10097822855584e-07	8.23686955819246
67819	1415693_at	-1.03344403935317	7.30002417439511	-7.11517930842176	3.73645501817486e-06	3.43423390614845e-05	3.81355444768394
20224	1415696_at	-0.664470439919549	9.06165508404044	-7.61493040542197	1.67255278592088e-06	1.71752739521442e-05	4.65290608594582
105348	1415698_at	-0.546559303483499	9.226386095744	-6.84691413591097	5.83154159975852e-06	5.03172675895751e-05	3.34927548563186
67437	1415700_a_at	-0.267231172473131	10.3089170986981	-3.54008026297821	0.00300900165901808	0.0122359556237828	-3.06948654365355
13016	1415702_a_at	-0.253386555167832	8.64325326977044	-3.24431777728295	0.00550517300384061	0.020635705422724	-3.6712486010927
321022	1415704_a_at	-0.197891441505607	10.9714599415678	-2.6477531694261	0.0183885219810977	0.0577454901733384	-4.85048937713499
12847	1415706_at	-0.733390523534594	10.0722899886543	-7.88159584794428	1.10369345741445e-06	1.20148874300867e-05	5.08741186795065
99152	1415707_at	-0.54605498391145	8.65825923274201	-6.28733591323203	1.52311695809248e-05	0.000116056931790723	2.34965762785223
211673	1415711_at	-1.02166230059744	8.3551432887233	-11.1337899736111	1.32391971108358e-08	2.74529208687727e-07	9.71843586204993
66618	1415714_a_at	0.512338754381235	9.5398588904013	6.71169387632741	7.3254080637381e-06	6.13114903520514e-05	3.11158519461125
68366	1415715_at	-1.16554790191716	6.25537147761953	-10.0009989000158	5.46045184089875e-08	9.11780223903646e-07	8.23454721589518
NA	1415716_a_at	0.452870566767358	12.5049647338271	5.47944804833708	6.57142015269103e-05	0.000420095847351549	0.833402313468945
66743	1415717_at	0.27148073398462	8.3500101453876	3.48607183815123	0.00335995803260997	0.0134723921789422	-3.17982454934863
74252	1415719_s_at	0.489502849496809	8.3061178500623	5.6614621833274	4.69075858596159e-05	0.000311802362543042	1.18228826480872
66591	1415720_s_at	-0.721213575035395	7.59381226962046	-8.7389430186702	3.0772003327039e-07	4.00921968415658e-06	6.42375914349169
217869	1415723_at	-0.206868202231186	10.5068875638804	-2.61262454113739	0.0197192190186176	0.0612504474489444	-4.91763865080605
12540	1415724_a_at	-0.426689368741349	10.2170157998282	-3.54124330867168	0.00300186284092747	0.0122113300251348	-3.06710883825346
106298	1415725_at	0.675366163792341	8.79479018552954	5.9082232094966	2.99124686315943e-05	0.000210629546877991	1.64863332736866
81702	1415726_at	-0.946168423886287	9.62738435807952	-11.9675006831347	5.01255412473315e-09	1.2115284221843e-07	10.7349081454444
246703	1415727_at	-0.312851176419559	8.59273722524933	-3.29686088979994	0.00494531194805144	0.0188138771968847	-3.5648641856819
18607	1415729_at	-0.388764288696362	8.6580671698573	-3.76792994959813	0.00189057602238529	0.00815560680876126	-2.60277601857728
68512	1415733_a_at	0.554772987560546	10.1817842051989	6.8346526598518	5.95278727641322e-06	5.11969219972373e-05	3.32782379625034
13194	1415735_at	-0.315469651253241	10.7962613767559	-3.34305527675457	0.00450011977107011	0.0173440353610522	-3.47111852496407
54391	1415737_at	-0.890248156087108	8.46594138096114	-9.26709819418576	1.46179634785454e-07	2.11760163197748e-06	7.20316768034627
66073	1415738_at	-0.255038158709414	8.33770758475404	-2.44843324159702	0.0272629041382028	0.0804596413779012	-5.2268662644827
68035	1415739_at	-0.678422174813424	8.96765012336301	-7.82916781508296	1.19683201870854e-06	1.28833856458168e-05	5.00270904626945
21982	1415741_at	-0.24955143446256	10.1571348260735	-3.30777167524558	0.00483635748157398	0.018466352757913	-3.54273947944679
14976	1415744_at	0.322855680951082	10.5265001980883	4.2092787169505	0.000773984064691907	0.00370370878532304	-1.69849682952644
13185	1415745_a_at	-0.41639648150916	8.05898868831494	-4.18472631632222	0.00081312342181582	0.00387210214838088	-1.74866657158404
71722	1415746_at	-0.397608740112354	8.34214907401595	-4.95819343485914	0.00017674945111429	0.00100410341286126	-0.187181591640909
66878	1415747_s_at	-0.292622088431295	8.84342909048178	-3.69954029561	0.00217321189400642	0.00921790930420235	-2.74300332985887
59288	1415748_a_at	-0.379847305383283	8.71602819542133	-4.91230577046759	0.000193148536891529	0.00108712828698035	-0.278427648887345
54170	1415749_a_at	-0.835144891724782	8.74722096605043	-9.81162954950255	7.0029222899841e-08	1.13122778725134e-06	7.97395116667923
213773	1415750_at	0.45694155208649	8.16783625204087	4.83891476341359	0.000222712906692891	0.00123167298899358	-0.424790649130392
15441	1415751_at	-1.17993968780256	7.85998186806284	-12.2713034572865	3.56721743935171e-09	9.02327951386434e-08	11.0907032052544
407819	1415752_at	-0.401616909642246	9.08461732844383	-4.10353509218111	0.000957523758868594	0.00447515845064585	-1.91474062261238
216169	1415753_at	0.321296127497147	8.70488533841337	3.31821670062821	0.00473429400028174	0.0181289861062642	-3.52154899100969
69833	1415754_at	0.280880573108564	9.8448461024889	3.37085608450046	0.00425168802718851	0.0165206669866657	-3.41461196400309
20615	1415756_a_at	-0.382194364665522	7.93338862414435	-3.0788760345374	0.00771184375493895	0.02764580440279	-4.00417440031961
72313	1415758_at	-0.370623184338241	6.59592766395455	-3.670463702978	0.00230594710050054	0.00969973141015436	-2.80259512762022
68576	1415759_a_at	0.374442868224577	9.00628440291574	3.94998940647281	0.00130606585227959	0.00587404028756102	-2.22935173569223
11927	1415760_s_at	0.276079839926625	10.4373352718811	3.75702317971726	0.00193303048337534	0.008319649568729	-2.62514411052084
68836	1415761_at	0.86751128479405	7.87234359162662	10.2162265588811	4.13325339821854e-08	7.17528335308139e-07	8.52621711741484
68836	1415762_x_at	0.940301893509908	7.99357906105718	11.6047579362883	7.59538269373679e-09	1.71451128563675e-07	10.3000525240279
70579	1415764_at	-0.42963777719715	10.2961693321965	-5.76933416418431	3.84932268884906e-05	0.000262089828788921	1.38710797700026
20333	1415766_at	-0.513267800119356	6.33439787296723	-4.8388641525725	0.000222734830257012	0.00123167298899358	-0.424891759292634
228994	1415767_at	0.196290790081506	10.0324139699009	2.54582569993302	0.022509308219558	0.0685523877378812	-5.04439815028187
83669	1415770_at	-0.590445892199525	9.02132697792076	-6.44422703626901	1.15863764861383e-05	9.14680843517108e-05	2.63417456473815
17975	1415771_at	0.275196488436635	12.4847512051821	3.4370303769805	0.00371404485348319	0.0147297869272727	-3.27987106316813
17975	1415772_at	0.805212810714557	8.40627448560184	9.70208929235074	8.10024566287118e-08	1.27470055701728e-06	7.82148135499386
17975	1415773_at	0.48005620259774	11.7018280613903	5.81836076360324	3.5203813323348e-05	0.000242425732499156	1.47970735115402
245688	1415775_at	-1.1287195163178	11.8592268002583	-14.3123311937072	4.29435647547354e-10	1.53836196505427e-08	13.3014467990915
11671	1415776_at	-1.44843428244849	7.09217443041256	-12.6609157917086	2.32951874915467e-09	6.33294907206899e-08	11.5362237852152
56397	1415778_at	-0.467753234968651	12.0655681564165	-5.35936819350389	8.22815181472204e-05	0.000513204086565867	0.601031999886759
11465	1415779_s_at	-0.484359053586225	13.0582795313663	-6.22686493793259	1.6939896796379e-05	0.000127546959167527	2.23911588089235
67416	1415780_a_at	1.12271235169049	7.28365369109537	11.1716878216813	1.26515245570797e-08	2.64042762169761e-07	9.76597080235581
170930	1415782_at	0.260724928830623	11.9106440004657	3.30303783960331	0.00488333270211449	0.0186236418229381	-3.55234002920271
20729	1415794_a_at	0.178510543159869	9.27516996247256	2.4487961244852	0.0272435353024672	0.0804130029893046	-5.22619186693529
20729	1415795_at	-0.253858277983133	7.5535878477448	-2.61426981161287	0.0196548778964321	0.0611095166142965	-4.91450099074728
23994	1415796_at	-0.758365314989185	8.73247330183443	-8.97067857662355	2.21133638851969e-07	3.02039619802019e-06	6.7697060543695
12305	1415797_at	-1.40109273020866	7.43068217984263	-16.4257194002952	6.22696468703741e-11	3.18415345068112e-09	15.3099562597174
12305	1415798_at	-0.848382769235068	6.13604038810017	-7.62745783124098	1.63987501315329e-06	1.68974190011941e-05	4.67352440146781
14609	1415800_at	0.706769415582401	9.86623840466831	9.16230696844772	1.69028889296308e-07	2.4048491912154e-06	7.05107286102676
14609	1415801_at	0.565169462862087	7.9006985837721	5.23823124631548	0.000103427066129748	0.000626465768132924	0.364904760921233
20501	1415802_at	-0.271865034109427	10.5486820246452	-3.25955508726766	0.00533662619053115	0.0200996763322691	-3.64042602358109
18791	1415806_at	-0.772226327588671	4.44167708107	-7.40553966128755	2.33298475354064e-06	2.29137511693023e-05	4.3052404583127
21984	1415809_at	0.318029666648333	3.48825209566941	3.13557628155549	0.00687141813150349	0.0250754777206035	-3.89046042529284
18140	1415810_at	0.378238107189781	9.87533269349027	4.81611074410887	0.000232819964098693	0.00128085059780619	-0.470372733172811
18140	1415811_at	0.401139634017438	8.40487960600528	5.1698100767962	0.000117788111952138	0.000702879285148637	0.230797710608952
227753	1415812_at	-4.31785770534439	6.91115047837385	-33.2939596690883	2.28511370054303e-15	1.20184136805873e-12	25.6344614007031
12468	1415816_at	0.265912270315524	11.7859361294743	3.29970590989366	0.00491666847705557	0.0187206977613916	-3.55909617030164
12468	1415817_s_at	0.402958434981211	11.3959111126125	5.07763984813039	0.000140467102194534	0.000820606747738605	0.0493284151441573
11749	1415818_at	-0.671372265928649	7.66923636045905	-8.3119340750653	5.74954239497431e-07	6.83294101596144e-06	5.76951668604191
51792	1415819_a_at	-0.206369691876293	10.2326246012326	-2.88574502419217	0.0114070437311145	0.0386383086231316	-4.3877973669158
53610	1415820_x_at	0.232644451368046	10.0676613280992	3.19133636321638	0.00613341546244712	0.0226956868601551	-3.7782264307764
20320	1415821_at	-1.05001892191239	9.57657452936072	-11.5685403146405	7.92177638671231e-09	1.7757457098266e-07	10.2560189583821
20250	1415822_at	-0.672946314157622	10.6075889631304	-6.81374720817137	6.16563900733116e-06	5.27959910517643e-05	3.29120262344909
20250	1415823_at	-0.494351069504209	9.24743201389309	-5.66314402901289	4.67626581668282e-05	0.000311022363365598	1.18549289434596
20250	1415824_at	-0.576559712066949	6.8537682452055	-5.84700783141622	3.34185299211219e-05	0.000231636369541087	1.53367204461842
NA	1415825_s_at	-0.925861487056007	7.80233471538818	-11.6576188906412	7.14435172829277e-09	1.63230702785072e-07	10.3641180346045
108664	1415826_at	0.377111400308193	8.83933847546818	4.78003493136345	0.000249784754602556	0.001363206947886	-0.542581520888961
28146	1415827_a_at	-0.3884888527345	9.45948174886325	-4.47863940584341	0.000452047506742098	0.00229799307952833	-1.15015832853689
